										
#	Lvl	火系魔法	Res	简称	法术描述	普通	专家级	大师级	大宗师级	Stats
90	2	毒云术	Dark	毒云术	有毒的云雾将会聚集在施术者的面前，并且慢慢的飘移开来，直到撞击到某样东西为止。伤害力是二十五点，施术者的每个黑暗系法术技能可以额外造成1-10点的伤害。	中等的恢复速度	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMEC
91	3	吸血武器	none	吸血武器	让某个武器拥有吸血鬼的能力。该项武器对敌人所造成的伤害将可以加成到持有者的身上，上限则是持有者原先的最大生命值。有效时间则是施术者的黑暗法术技能每个等级可以增加一小时。	法术的持续力是每个法术技能等级一个小时。	更快的恢复时间。	更快的恢复时间。	永久的效果。	P
92	4	缩小光	Dark	缩小光	将目标生物的大小缩小。被缩小的生物将只能造成平日一半、三分之一或是四分之一的伤害。有效时间是施术者的黑暗系法术技能乘以五分钟。	将怪物的体型降为原来的一半。	将怪物的体型降为原来的三分之一。	将怪物的体型降为原来的四分之一。	效果扩及到整个区域（可以将一整群的怪物体积缩小）。	PC
93	5	金属碎片	Dark	金属碎片	会发射一大群的炙热金属碎片，伤害任何挡路的生物。五片金属碎片可以造成的伤害为六点，施术者的每一个黑暗法术技能的等级可以造成1-6点的额外伤害。	无	较快的恢复速度，五片碎片。	较快的恢复速度，七片碎片。	最快的恢复速度，九片碎片。	PMC
94	6	控制不死生物	Dark	控制不死	控制一名不死生物的心智，当法术有效的时候，该名生物会攻击对队伍有敌意的怪物。如果队伍攻击被控制的生物，这个法术的效力也不会被解除而且也不会反击。法术的有效时间是施术者的每个黑暗法术的技能等级乘以三分钟。	无	每点法术的技能等级会增加三分钟的法术持久力。	每点法术的技能等级会增加五分钟的法术持久力。恢复速度更快。	恢复速度最快，而且效果会持续到队伍离开这张地图。	P
95	7	疼痛反射	Dark	疼痛反射	如果某个生物攻击，并且伤害到了某个队员，它将会遭到和它所造成的伤害一样的攻击。	无	法术的持久力是一个小时加上每个法术等级额外的五分钟。	可以影响整个队伍。	法术的持久力是一个小时加上每个法术等级额外的十五分钟。	PM
96	8	牺牲	None	牺牲	这个邪恶的法术将会杀死队伍所雇用的一名ＮＰＣ。施术者的法术和生命点数将会被恢复到最高值，所有的负面效果和衰老的效果都会被移除。施展这个法术将会严重的影响队伍的声誉。	无	无	缓慢的恢复速度。	中等的恢复时间。	P
97	9	龙息	Dark	龙息	施术者会吐出剧毒的气体，瞄准单一的敌人，同时也对所有靠近的生物造成伤害。施术者的每一个黑暗法术技能的等级可以造成1-25点的伤害。恢复行动力的速度十分缓慢。	无	无	缓慢的恢复速度。	中等的恢复时间。	PMEC
98	10	善恶大决战	Dark	大决战	这个法术将会对地图上的所有生物造成严重的伤害，包括队伍本身。伤害力是五十点，施术者的黑暗法术技能等级每一级可以造成额外的一点伤害力。这一天只能够施展三次，而且只能够在室外施展。这个法术可以用来有效的屠城。	无	无	每天只能施展三次	每天只能施展四次。	PC
99	11	啜饮灵魂	Dark	啜饮灵魂	这个法术可以从视线内的所有生物身上吸取生命力量，并且将他们的生命能源以生命点数的形式传送到你的队伍中。这些点数会被队伍的成员平分。伤害（或是医疗效果）是二十五点，施术者的每一个等级黑暗系法术技能可以造成额外的1-8点伤害。	无	无	无	这个法术的效果这样就已经是最强了！	P
	Lvl	黑暗精灵技能	Res		法术描述					
100	1	迷魂术	none	迷魂术	这个技能能够让施法者的行为举止和外貌变得更为吸引和黑暗精灵打交道的人们。只要这个技能有效，它的效果就如同商贾技能一样。	每个等级将会可以增加有效时间五分钟。	每个等级将会可以增加有效时间五分钟。	有效时间将会随着每一个技能等级增加一个小时。	可以让黑暗精灵在商贾技能上拥有更多的优势。	P
101	2	旅行者百宝囊	none	旅行者百宝囊	这个技能拥有火把之光、巫师之眼和羽落术的效果。	无	每一等级技能将可以让法术持续三十分钟。	有效时间将会变成每一等级一小时。	有效时间将会变成每一等级二小时。	P
102	3	盲目术	Mind	盲目术	这个法术将会让目标瞎掉，法术的目标将会漫无目的的乱跑，无法使用法术和远程武器攻击，只要法术有效时间持续，对方就会不停的受到影响。	无	无	每个技能等级将可以延长五分钟的有效时间。	每个技能等级将可以延长十分钟的有效时间。	P
103	4	黑暗火箭	DarkFire	黑暗火箭	这个惊人的法术技能让黑暗精灵可以操控暗火焰，也就是一种将黑暗系力量和火系力量融合在一起的可怕攻击。任何被这种暗火焰击中的人物将必须计算他火系或是黑暗系的抵抗力中较低的一个。暗火箭每个技能等级将可以造成1-17点的伤害。	无	无	无	无	P
104	5	Unused!!!	0	0						
105	6	Unused!!!	0	0						
106	7	Unused!!!	0	0						
107	8	Unused!!!	0	0						
108	9	Unused!!!	0	0						
109	10	Unused!!!	0	0						
110	11	Unused!!!	0	0						
	Lvl	吸血鬼技能	Res		法术描述					
111	1	吸收生命	Dark	吸收生命	生命吸收让吸血鬼可以对敌人造成伤害，并且同时医好自己，这伤害的能力和他所吸收的生命点数有关。这个技能的基础伤害力是三点，每个技能等级可以造成额外的1-3点伤害。	技能的伤害力如同前述，但是吸血鬼可以获得对方减损的三分之一生命力。	恢复速度将会变快。	基础伤害力是五点，每个吸血鬼的技能等级将可以造成额外的1-5点伤害力。	基础伤害力将会变成七点，每个吸血鬼的技能等级将可以造成额外的1-7点伤害力。	P
112	2	舞空术	none	舞空术	这个技能可以让吸血鬼把整个队伍稍稍漂浮离地面，避开溺水或是熔岩的危险，同时也不会触发地面的陷阱。	无	每个技能等级可以让这技能的效果持续十分钟。	每个技能等级可以让这技能的效果持续一小时。	每个技能等级可以让这技能的效果持续三小时。	P
113	3	魅惑术	Mind	魅惑术	吸血鬼能够使用他的天赋能力魅惑附近的一小群目标。	无	无	每个技能等级可以让这技能的效果持续十分钟。	永久持续	P
114	4	雾化	none	雾化	在大师级等级的时候，雾化的能力可以让吸血鬼幻化成迷雾，不受物理性攻击的伤害。虽然雾化的吸血鬼不能施展物理性攻击，但是他们依旧可以使用法术和天赋的能力，同时也依旧会受到法术和其它生物能力的影响。	无	无	无	无	P
115	5	Unused!!!	0	0						
116	6	Unused!!!	0	0						
117	7	Unused!!!	0	0						
118	8	Unused!!!	0	0						
119	9	Unused!!!	0	0						
120	10	Unused!!!	0	0						
121	11	Unused!!!	0	0						
	Lvl	飞龙技能	Res		法术描述					
122	1	恐惧术	Mind	恐惧术	这个技能让飞龙可以将龙威深植到对手的脑海中。如果目标物无法反抗这能力，它将会在有效时间内逃之夭夭。	能力可以持续三分钟，飞龙的每个技能等级可以增加额外的一分钟。	效果可以持续五分钟，飞龙的每个技能等级会增加额外的一分钟。	效果将会影响附近的所有区域。	影响所有在视线内的生物。	P
123	2	火焰爆	Fire	火焰爆	这个技能是一般的飞龙喷吐攻击的威力加强版。它的效果与火球术非常相似，在打中目标之后将会爆炸，对目标物四周的敌人都造成伤害。	无	会造成十点的伤害力，每个技能等级将可以造成额外的1-10点伤害。	伤害力增加为十一点，每个技能等级可以增加额外的1-11点的伤害力。	伤害力增加为十二点，每个技能等级可以增加额外的1-12点的伤害力。	P
124	3	飞行	none	飞行	让飞龙可以背着队伍的所有成员飞行。这个技能非常的昂贵，并且只能在室外使用，但是非常的有用。每五分钟的飞行（也就是您没有碰触到地面的时候）将会用掉一点的法力点数。	无	无	每个技能等级将可以增加一小时的飞行时间。	不花费法力点数	
125	4	翼击	none	翼击	借着使用这个技能，飞龙将可以利用翅膀把所有攻击的生物推到一定的距离之外，有效的让它们远离队伍的肉搏战距离。	无	无	无	无	
126	5	Unused!!!	0	0	0					
127	6	Unused!!!	0	0	0					
128	7	Unused!!!	0	0	0					
129	8	Unused!!!	0	0						
130	9	Unused!!!	0	0						
131	10	Unused!!!	0	0						
132	11	Unused!!!	0	0
