Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
27	Fool	交谈	与其沉默不语，证明你是傻瓜，不如和他们攀谈，让他们自己认为你是傻瓜。	羊鸣教	你听说过羊鸣教吗？他们可是天底下最好的好人。在我家饥寒交迫，无人问津之际，是他们挽救了我们全家。我们为了感激他们的大恩，答应重返这里。	明智的人	风笛让智者认真思考，让愚者自讨苦吃。	傻瓜的服务	我知道自己的要价很高，但这是物有所值。如果你雇我一起周游世界，我会不断告诉你一些珍贵的情报，比如你知道一个傻瓜马上要变成一个穷光蛋了吗？	珠宝地图	前些时候我从别人手里买了一幅珠宝地图。上面表明大名鼎鼎的海盗船长席尔瓦克的珠宝就藏在自由天堂东面某个岛上的一棵树下，会不会就是阿卜杜的小岛。	大桥契约	我带来了白森林河上的大桥的契约。这是座收费的大桥。我将成为大桥的主人，专收过桥费，光凭这个我就能发财了。	流星雨之夜	自从流星雨之夜的两年后灾难就频频发生。一切都显得那么反常。只有羊鸣教才真心救助百姓。他们说罗兰德国王犯了触犯天庭的罪孽，流星雨就是来自天堂惩治邪恶的复仇天使。
28	Chimney Sweep	埃里克·冯·斯壮姆嘉德	可怜的奥斯里克·坦普，他的心情就像王国的天气一样阴沉。要看到他脸上的笑脸就像要看到白帽镇的太阳一样困难。他总是以悲观的态度看待每一件事，真是糟糕。	正向思维	人们总羡慕我的幸运。其实命运之神并没有对我特殊照顾，只是我总看到事物好的一面。如果你也从这个正确的角度看待问题，就会对一些原来很严重的问题放宽心了。	罗兰德国王	谈到你的不幸，令我想起了可怜的罗兰德国王壮志未酬身先去。我可以想象他是义无反顾的面对死亡，但死神似乎来得过早了点。	自由天堂的神庙	自由天堂的神庙早已被付之一炬，真是不幸。这个神庙拥有最具魔力的神坛，通过它神庙的神父能使人起死回生，甚至躯体烧成了灰也能使他复活。	劳里达·弗丽斯	劳里达是像我一样的人，艰苦奋斗，自力更生，靠个人努力才有了今天的地位。最重要的是她自信心极强，这一点是金钱难买的。正因为她雄心勃勃，大义凛然，才获得今天的巨大成功。	艾恩法斯特城堡	我未能在艾恩法斯特找到工作，真不知道是什么原因。好象他们不喜欢有陌生人呆在城堡附近，里面一定有阴谋。	幸运	我告诉你一个秘密。幸运就是那么回事，没有传说的那么深奥。它全靠你自己的心情而定。如果你经常担心大难临头，它往往就会发生。但如果常看到事物的光明一面，想到好运将至，你就能如愿以偿。
29	Porter	劳里达·弗丽斯	弗丽斯夫人是整个恩洛斯最难相处的女首领。她不但爱钱如命，一毛不拔，而且还是个铁石心肠的人。	克里格斯	总不时的有些怪人要到些危险的地方去，像克里格斯城堡。前些天我遇到个家伙付钱给我，要我为他和他的仆人背行李越过克里格斯的山区进入城堡中心。他的仆人看来病恹恹的，但好像从来不觉得累，看来肯定不是什么好人。	装起你的金币	装金币时可别心不在焉，好好整理一下可以腾出很多空间放更多的金币。你知道，没人会为你干这种事的。	装运废物	人们雇佣我为他们提一些不需要的行李。魔法师的行李最多，有风笛、试管、玻璃器皿和各种各样的垃圾。你携带的东西应该少而精，把不需要的东西卖掉。但是别把大批东西卖给杂货铺，那里出的价相当低。	方尖塔	我想你一定看到过散布在全国各地的方尖塔。传说如果能解开上面蕴藏的谜语就能找到埋藏在地下的大批宝藏。但直到现在还没有人成功过，至少我没有听说。	大路	我和形形色色的人一起旅行过，为他们扛过沉重的行李。以我多年的经验，我忠告你除非你法力高深，力大无穷，不然行李可不能太重，免得半路上被土匪抢劫。行路一定要谨慎小心，这对你非常重要。	大雪	在大雪中旅行非常困难，有我相伴你真是好运。
30	Quarter Master	食物供给	各种不同的地方有各自的打猎或捕食的机会。比如你在草地里不必准备许多食物，但在沙漠中就要费尽心思找个能安营扎寨的场所。	废墟	自从流星雨之夜后天堂谷就成了一片寸草不生的废地。我去过那里，但没有敢深入腹地。我不清楚天堂谷的百姓到底做了什么触犯众神的事而遭到如此报应。但我想他们肯定干了些见不得人的丑事。	安全的休息	有些地方相当危险，不适合休息。为了安全起见，休息前你最好节省足够的体力，找一块安全可靠的地方安营扎寨。	休息	在中毒或患病的时候你最好不要休息，如果出现以上情况，你会长眠不醒。在休息以前你必须到神庙去解毒或治病。	奥斯里克·坦普	我以前曾在奥斯里克的军队里服役。学会了安营扎寨，寻找食物并维护装备。奥斯里克是个铁面无私的人，是个优秀的领袖，他知道如何激励部队的斗志，我会慢慢告诉你的。	酒店	酒店在全国各地星罗棋布。甚至在边远凶险的西方也有，你可以非常方便的去那里补充食物，好好睡一觉。	休息的好处	休息能使你精力充沛的面对新的一天的挑战。它还可以治疗你身上的创伤，恢复魔法力量。找一间舒适的房间，好好吃上一顿，再生起暖暖的炉火，以此来消除一天的疲劳，真是莫大的享受。
31	Factor	形势	如今的日子越过越难，在银行存款已经不给利息了。现在在银行存钱就是为了安全，挣利息的日子已经一去不复返了。	辩解	闲适的躺在家里的火堆旁，喝着美酒，把玩着脚边的宠物小狗，计算着自己的财富，这才是真正的生活。	地下交易	你知道，和这些不法之徒做生意我实在不放心。我明明知道他们的钱是偷来的，可又能怎么办呢？监狱只是用来关押些暴力罪犯或是屡教不改之徒，真希望恢复阿基巴德时期的严刑苛政，罗兰德国王和他的摄政王实在太软弱了。	海盗	李格纳的海军帝国最近在海上横行肆虐，使海运的价格飞速提高。因为保险费用实在太高了，许多商人只得放弃。必须有人来出面对付这个可恶的李格纳。	死亡和征税	生命中只有三件确定的事，第一是死亡，第二是征税，第三是你迟早会听到那个笑话。	转世重生的代价	你是否注意到了在神庙中要求转世重生所花费的金币是你死前身上携带的所有金币。	财富	你是否曾经幻想能找到巨大的宝藏？我可是这样想过。传说天下有三大宝藏，第一个是皇家图书馆里的知识，第二个是方尖塔指引的财宝，第三个就在劳里达·弗丽斯的地窖。
32	Banker	劳里达·弗丽斯	劳里达靠着船运业发家致富。她控制了整个王国的船运价格，狠赚了一笔。我只想为她记帐就够了。	金币	要买东西必须付钱，没有别的办法。万物都有价格，希望你能付得起。	代价	挣钱的最佳方法是自己省吃俭用。找最便宜的地方治疗，训练，买最便宜的东西。不是迫切需要就不要雇人，不到必要时候不要去驿站，不要买用不着的物品。记住：省钱和挣钱一样重要。	经济	由于近来麻烦不断，人们开始省吃俭用，紧缩开支。这样下去经济将会萧条，对每个人都不利。	银行	银行可是个存钱的好地方。除非你有个安全可靠的藏钱地方，不然还是把钱存入银行为妙。银行不给利息，但也不向别人出借，所以你不必担心钱财的流失。	投机	如果你发现一批极有价值的东西价格特别便宜，一定要全买下来。你可以在适当的时候出手，大大赚它一笔。说不定这些东西还能派上大用场。	西部地区	我不知道西部的城镇是否还存在。商人们早就不上那里去了，很久也没有人从那里来。我想有人烟的地方就到布莱克郡为止，就是住在那里的人也举止古怪。
33	Cook	食物的代价	食物越新鲜可口，可以保存的时间越长，价格也越贵。西面的人们研究出一种可以长时间保存食物的方法。	邪恶潮水	最近发生了些不幸事件。我听说近来的大雨冲垮了大堤，把一个村子淹没了。而来自甜水镇的消息更糟，人们在传说整个镇子将遭到灭顶之灾。	药剂	把如草药和水这些简单药剂相混合调制就可以制成复杂药剂。就我所知把橙色药剂和绿色药剂相混合可以得到白色的顶级保护药剂。还有许多其它的不同组合，不过试验可是相当危险的。	邪恶神庙	聪明人都认为最近发生的一系列灾难都和羊鸣教有关，我想他们所言不差。尽管羊鸣庙提供免费的治疗，但你必须三思而行，人人都在怀疑羊鸣教，你和他们有联系对你的声誉不利。	李格纳的土产	李格纳的岛屿除了进出海盗外，还出产糖、可可和肉桂。如果不是为了这些东西，我们的羊鸣教大军早就把这些岛屿灭了。	鱼	我烹制过天下各种各样的鱼类，就是没烧过鳝鱼。听说在银湾镇北面的水域有很多鳝鱼，真想抓一条来下酒，可是去抓鱼的人很少能平安返回。但为了天下最佳的美味，冒一次险又算得了什么呢？	果树	我喜欢在做菜的时候放一些新鲜水果。果树随处可见，当我肚子饿了，口袋里又没钱，我就采果子吃。它们也能对你帮上大忙。
34	Chef	炼金术	草根可用来制造魔法药剂。但我不知道具体程序。我想了解这东西味道怎样？	罗兰德的最后晚餐	我听说过关于罗兰德的远征军在阵亡前的晚餐的故事。我怀疑没有人想过在这顿饭后活着回来。这顿丰盛的晚餐其实是他们最后的晚餐了。	钟爱的大餐	我喜欢烤得熟一点的牛排，放些香草，洋葱和蘑菇。再加些开胃蔬菜，比如土豆。再来点啤酒，这才是顿像样的晚餐。	喷泉	我听说王国里有魔法喷泉。如果我能找到这些喷泉的话，我会用它们做一顿丰盛的晚餐。	食物的价格	每个酒馆提供的食物价格各不相同，你可要当心，免得挨宰。食物价格越贵，可消耗的时间越长。如果你要准备长途旅行，最好带上足够的食物。	食物供应	旅行中食物不能短缺。一旦食物消耗得不到补充，休息时就不能恢复体力和魔力，而且很容易在荒山野地里饥饿而死。	制造食物	我知道有种魔法可以制造食物，但魔法造出来的食物味道一定不怎么样！
35	Horseman	骑马的价格	尽管价格昂贵，但通过驿站旅行速度飞快，如果使用魔法另当别论，但又不是人人都会魔法。你也当然可以选择步行，但别忘了那可要消耗食物的。	人头马	我们这里的马匹都非常驯服。但在埃拉西亚的乡村有一种半人半马的怪兽。它们有自己的部落，常向住在它们附近的人类和精灵族挑起事端。	沼泽旅行	现在谁都不想去幽灵沼泽。我也不想去。马匹在那里寸步难行。没有一家驿站会载你到那儿去。我的忠告是和那个地方说再见吧！	休息	如果你是通过驿站坐马旅行，就不必考虑休息，如果你是步行的，就必须在草地上休息，那里比较安全舒适，而且消耗的食物远远少于睡在大路当中所要消耗的食物量。	岛屿旅行	我对航海旅行所知不多，但听说坐船或施展凌波微步魔法都能登上岛屿。航船的旅行路线各不相同，在订船的时候你最好问问清楚。	马蹄铁	那个地方传说有一副马蹄铁可以保护马蹄不受伤害，而且使马奔跑永远不觉得疲劳。如果你有马匹的话不妨去找那副马蹄铁，不过这更像是一个神话。	甜水镇	你肯定不知道关于甜水镇的任何消息。一年以来我所认识的人里没人知道甜水镇所发生的一切。尽管那个地方离这里很远，但一年里音信全无实在太奇怪了。一定是出了什么事。
36	Bard	歌	我喜爱表演，沉迷于旅行。没有人能像游吟诗人那样享受最精美的食品，上好的美酒，我还要奢求什么呢？	自由天堂	自由天堂的下水道是个值得一去的地方。我听说过隐蔽处、神庙、财宝、水井和下水道的故事，很想去见识见识。那里可真是个不错的地方。	尼古拉	我上次造访铁拳城堡的时候，尼古拉王子吵着要看马戏。我为他演奏了一些马戏团的歌曲，他听了赞不绝口。	羊鸣庙	我不知道为什么主要的城镇和城堡附近没有羊鸣庙。因为某些原因它们都建在一些偏远地区。	凯瑟琳	凯瑟琳在丈夫罗兰德阵亡后又匆匆赶去参加父亲的葬礼，这个可怜的女人承受了太多的不幸。更糟糕的是她把尼古拉一个人留在了铁拳城堡，王子实在太小了，现在却要承受关系王国生死存亡的巨大考验。	阿基巴德石像	在阿基巴德战败后不久，我因为战功赫赫，有幸被允许参观了皇家图书馆。里面我看见一尊阿基巴德的石像，雕刻得栩栩如生，与真人一般无二。他一定是自以为即将胜利时才命人做此石像。罗兰德把它保存下来作为留念。	议会成员	我有时真不知道议会这帮人在干些什么。这里的混乱局势完全是因为他们的工作不力，法令松弛，胡乱决定引起的。而且他们迟迟不对罗兰德的牺牲作出官方的调查，真不知道葫芦里卖的什么药。
37	Enchanter	天籁之音	尽管你听不见，但众星划过天际确实会有悠扬歌声。这就是天籁之音，宇宙中最宏大的交响乐。	行星的逆行	小心别做长途旅行，三颗行星在逆行之中。其中一颗这个月处于第三本轮，同时狮子座上升时与双鱼座的横向移动相对。别说我没有警告过你。	预言	预测并不可笑，尽管它们大多数都没猜中。我们时代里最伟大的预言是在八百年前阿普斯·希拉纳斯临死前说的话。他说暗黑兄弟将在光明兄弟的日出的阴影中重新崛起，这好像是说罗兰德国王和他的坏哥哥阿基巴德。	龙塔	许多人都对龙塔不了解，但村镇附近所设的龙塔对学习空气魔法的巫师来说非常危险。龙塔本意是打击空中的飞行怪兽，但往往不分青红皂白，把飞行的魔法师也打下来。我就遭到过它们的攻击，差一点没了命 。	死灵法师	早在十年以前阿基巴德统治的时候死灵法师教派就出现了。他们因为知道人人都对他们怀有敌意，所以行动诡秘。当罗兰德当上了国王，他瓦解了该教派，逮捕了他们的领袖。从那以后他们就神秘的消失了。	黎明与黄昏	所有魔法师都知道，也应该知道，有些魔法只有在黎明和黄昏才能发挥威力。比如说普渡众生魔法就是这样。	冥想术	不断地练习冥想术尽管一开始效果不明显，但专心练习可以极大的增强魔法能量。冥想术的大师施展的魔法其威力是常人的好几倍。
38	Cartographer	凌波微步魔法	我听说有些会凌波微步魔法的巫师在寻找雇主，但要价可不便宜。	旅行季节	有些地方在一年中的某些时候可不能坐船去，你最好仔细安排你的行程以免带来不便。	劳里达·弗丽斯	弗丽斯夫人是商界的女王，她靠垄断船运业价格积累了巨额财富。	皇家游艇	罗兰德国王把他的私人游艇——凯瑟琳皇后号放在铁拳城堡西面的湖里。它是一艘威力无比的轮船，可以迅速到达附近的任何地方。但只有国王和摄政王有使用权。	岛屿	乘船航行和凌波微步魔法并用可以到达许多岛屿。岛上大多是凶猛可怕的恶魔，但也有价值连城的珠宝。	埋藏的财宝	据说自由天堂东面的岛屿上藏着海盗席尔瓦克的财宝。这种故事我听了一大堆，但只有找到地图，才能证明真有其事。	埃拉西亚	最近船运公司都停业了，如果要去凯瑟琳·艾恩法斯特的家乡埃拉西亚需要三周的航程。而且得赶上风季。我没去过那里，但听说那里是个好地方。
39	Wind Master	飞行奇术	飞行当然比步行容易得多，而且安全。但飞行奇术会耗尽你的能量。所以你要仔细安排你的飞行计划以免中途突然失灵。	群山	飞行奇术有一定的高度限制，一些高山峻岭会阻挡它的飞行路线。这是该项魔法的一个小缺点。	阿拉莫斯	阿拉莫斯是许多钻研魔法的巫师和其守卫的家园。传说巫师们在那里修炼召唤魔法，但没人敢去那里调查事情真相。	德里克丝	德里克丝是恩洛斯第一个大魔法师，他法力无边，天下无敌。他是元素魔法的奠基人，并且首先开始钻研光明魔法和暗黑魔法。他的水晶里据说隐藏着至高无上的魔法秘密。	巨龙	巨龙不但武艺高超，而且还会魔法。但很少有人知道这一点。许多屠龙的勇士因为对巨龙的魔法毫无准备而成了它们的盘中美餐。	龙塔	这些老龙塔原来是为了保护城镇不受飞行怪兽攻击而造的，但它们对所有在其射击范围内的飞行物都进行攻击。	凌空飞降	是仅次于飞行奇术的魔法。如果你从悬崖或高处摔下来，施展该魔法虽然不能使你在空中自如地控制身体，却能保你不死。
40	Water Master	凌波微步魔法	凌波微步魔法可使人在水面行走如踏平地。但你得仔细安排以免魔法到时失效后你仍在水面上。	淹死	恩洛斯周围的水域异常寒冷，即使技术最精湛的泳将也会遭灭顶之灾。一旦你落水后，必须赶快上岸，千万不要自以为是，不然有生命的危险。	寒冰爆裂	如果你面对大群讨厌的小怪兽，可以用寒冰爆裂魔法来对付它们。它可以爆炸出无数微小寒冰碎片，把敌人撕个粉碎。因为霰弹片遇墙会反弹，所以在室内使用更为有效。但你自己必须呆在安全地带，不然自己也会中弹。	时空之门	时空之门是远距离旅行的最佳魔法。水系魔法的大师可以任意选择所要传送的地点，尽管学习该魔法代价很大，但物有所值。	埃拉西亚	埃拉西亚离恩洛斯路途遥远，即使施展时空之门魔法也到不了那里。那块大陆离这里有六个星期的海路。那里到处是小岛和次大陆。有多如牛毛的小王国和部落，他们会打劫路过的行人，囚禁过往客商，甚至谋财害命。	月亮神庙	尽管月亮教派代表了人类中的最邪恶势力，但并不是说他们没有做过什么好事，就像太阳教派尽管正义凛然，但也出过几个不肖之徒。在两个教派和平相处的日子里，月亮教派制造了一件法力无边的宝物——末日披风。如果你找到它，可要小心保存，这个东西威力无比，价值连城。	大穿越	大穿越的传说已经流传千年。每代人都不厌其烦的诉说着它的故事。故事说以前我们人类和住在一起的精灵、矮人以及大耳怪同坐在一艘巨船上穿越星星之间的虚空来到这里。
41	Gate Master	撤退	我解救过不计其数的探险勇士。从中得出一个经验之谈。如果你到了一个无法对付的险恶之地，“三十六计，走为上策”。没有人会因此而小看你的。	时空之门	一项极为实用的魔法。但是大多数的城镇在东部，所以你最好不要走得太远。如果你要回到城镇，这是最便捷的方法。	地图	如果你要把自己远距离传送至某地，最好看清地图，以免迷了路。	守护天使	如果你无法在战斗中撤退，守护天使魔法说不定能救你一命。如果你进入一个危险的区域，最好及时施展该魔法。	恶魔	在旅行的路上我看到过一些恶魔，它们真是心狠手辣。一路上我救了不少落难的人，但我在战斗中对恶魔竟如此行动一致，进退有序感到出乎意料。它们一定受过严格的作战训练。	时空道标	如果你不幸迷路了，可以运用这个魔法把自己远距离传送回要去的地方。尽管魔法持续的时间不长，但只要正确安排，有充足的时间完成任务。	时空之门	天下确实存在时空之门，通过它可以在恩洛斯各地飞快穿梭。了解这项魔法可以非常省力的在世界各地来去自如。
42	Acolyte	自我提高	心智魔法、肢体魔法和灵魂魔法是关于灵魂和自我的魔法。对这些魔法的理解越透彻，与众神的关系就越近。	太阳神庙	尽管他们的教派属于异端，但良心不坏。他们的教堂帮助穷人，治疗疾病，安抚百姓。但因为他们财富不断积累，力量不断壮大，骄傲情绪也不断滋长。骄傲往往是堕落的前兆。在与他们的死敌月亮教派无休止的较量同时，他们也和他们的对手一起开始堕落。	光明魔法	光明魔法是天下威力最为强大的魔法，而且没有副作用。暗黑魔法虽然可以制造无比的攻击威力，但施展该魔法往往要付出代价。许多暗黑魔法在攻击敌人同时也会对自己造成伤害。	谣言	羊鸣教已经臭名昭著了，人人都怀疑是他们制造了最近的一系列灾难。我也开始同意人们的观点，众神一定会严惩这些可恶的异端的。	流星雨之夜	我想流星雨之夜是邪恶的预兆。那以后不久我们的国王罗兰德就失踪了，而羊鸣教开始崛起，西方恶魔也猖獗起来，这实在是邪恶的预兆啊！	治疗药剂	只要你手头有药材，制造治疗药剂很简单。你要把罂粟花和水混合在试验瓶中，治疗药剂就好了。如果一时找不到水，也可以直接口服草药，但效力就不大了。	众神	众神洞察着我们的一生，带领我们步入天堂。你必须用心去倾听神的旨意，按众神的安排去做每一件事，一步一步在通往天堂的台阶上跋涉。坚定你的信仰吧！按神的安排去做，你会进入天堂的。
43	Piper	音乐	许多人对游吟诗人的音乐不屑一顾。但这是我一生追求的事业。	旅店	这两天光靠在旅店里演奏，日子越来越难过了。我常年在城镇之间流浪演奏，但如今人们的胆子越来越小，吓得都不敢花钱了。	老鼠和孩子	风笛的音乐似乎对老鼠和孩子特别有影响力。一旦我演奏起悠扬的笛声，他们就会跟着我，无论走到哪儿。	野蛮的怪兽	别指望用音乐就能驯服这些野蛮的怪兽，那只是个传说而已。我就吃过这个亏，有伤痕为证。	美杜莎	我曾经是一个贵族的乐师。有一次我和主人及他的夫人荡舟星湖，奏乐观景。当我们靠近湖中心一个小岛的南端时，看见了世上最可怕的怪兽——一个留着蛇发的妇人——就在岸上看着我们。我亲眼看见主人被她的目光一扫，就变成了石头，我赶紧逃命，免得陪葬。	甜水镇的毁灭	在流星雨之夜以前甜水镇是我奏乐的好地方。现在通往镇子的大路上尽是恶魔，它们说甜水镇已经不存在了。	罗兰德的逝世	据说最后见到国王的时候他正被一伙恶魔追杀，逃进了克里格斯城堡。从此再也没有回来。我们必须接受现实，我们的国王已经被那伙怪兽杀害了。
44	Explorer	特殊地点	世界上有许多具有魔法力量的地方。但大多数是在不起眼的偏远角落。如果你能找到这些地方，就可以获得它们的魔力。	凌波微步魔法	航船有自己的班次和目的地，不会根据你的意愿改变。如果你要随心所欲的航行，最好施展凌波微步魔法。	星岛	我从未深入星岛，但在外面看见过一些石像。每个上岛的人都一去不复返了。我怀疑这些石像就是因发现了岛上的秘密而被变为石像的人。	黑摩尔	黑摩尔城堡在幽灵沼泽的最深处，里面住着法力无边的不死亡灵。传说都这么说，但我没有亲眼所见，更不用说进去过了。但我活着逃出了沼泽，这一点恐怕没有多少人能做到。	飞行魔法	飞行魔法能使你翻越高山，飞檐走壁，越过任何障碍。但飞行高度是有极限的，有一些高峰因为超过了飞行的极限高度而不能翻越。	隐士岛	隐士岛，特伦斯爵士因其地处偏远而给它取了这么个名字。因为恩洛斯南部水域气候恶劣，海浪汹涌，很难平安上岛。	旅行时间	远距离传送可以最大限度的节省旅行时间。当然，如果有经验丰富的水手或马夫领路，你坐船和骑马速度也很快。
45	Pirate	李格纳	人们总在说我的家乡人李格纳的坏话，真是岂有此理。其实李格纳是世界上最可爱，最乐观，也是最有独立精神的好人。	短刀	短刀的优点比宽剑多得多。但最大的优势是它可以收缩自如，忽长忽短，令敌人无法判断。李格纳的工匠是铸造短刀的大师，你不妨去那里碰碰运气。	三叉戟	三叉戟是海战最合适的武器。它既可在水底使用，又能从水面刺入，而且还能分开水浪，这点是其它兵器不能比拟的。	帝国税收	"尽管名声不好听，但我所干过的最好的工作是做哈里克六世的税收官。我们主要向来往船只征税，善良的老国王总让我们自己留存一部分，<叹气>好日子一去不复返了。"	哈里克六世	哈里克是世上最杰出的领袖。这样说不仅因为他是世上唯一的皇帝，而且他平易近人，与民同乐。比如在向船只征税时，他和我们一起乘船漂泊，一起浴血奋战，一起施展魔法，一起开怀畅饮。他是一个真正的平民皇帝。	李格纳的工匠	因为李格纳物产丰富，有大量香料、金属和财宝，人人都想把它占为己有。但这些年没人向它动手主要是这个地方的兵器制造业非常发达，向世界各地出售它们的兵器。人人都批评李格纳不该出口兵器，但人人都以得到李格纳出产的兵器为荣，“一张嘴两张皮”，反复无常的人类就是这么个伪善的动物。	兵器运输	我来到恩洛斯的时候阿基巴德正邀请李格纳人带来大批兵器为他助战攻击罗兰德。阿基巴德失败后，罗兰德把装运兵器的船只都扣了下来，并封锁了通往李格纳的海路，从此我就滞留在这里，回不去了。
46	Squire	对手	最好的锻炼方法就是在实战中不断战胜对手。对手越强你得到的锻炼越大，通往荣耀与胜利的道路是由一场场艰苦卓绝的战役铺成的。	查德威克	查德威克是久经沙场征战的老将，住在自由天堂。他是恩洛斯现存的最伟大的豪侠，也是奥斯里克最钟爱的剑客之一。	议会的储藏室	传说自从寂静时代以来议会就看管着一间藏有威力无穷的兵器的储藏室。我想这是胡说，如果真有这样一件兵器，议会怎么不用来制伏恶魔，早该在王位争夺的战争中就可拿出来发挥作用了。	奥斯里克·坦普	作为举世闻名的战神，奥斯里克除了精通十八般武艺，而且对排兵部阵也了如指掌。在军事方面无人可以与之匹敌。	修补	人人都知道兵器一旦破损，就如同废物。每个战士必须自己会修补兵器，要么就及时找工匠帮忙。知道如何修补兵器就可以进一步掌握你的兵器。	罗兰德的远征军	我真希望自己能参加罗兰德的远征军。那一定是一支无上光荣的队伍。人人都是久经沙场的勇士，兵器和铠甲在阳光的照耀下铄铄放光。和自己的君主一起战死疆场是多么荣耀的事，自己的尸体在寒夜与孤独寒冷为伴又是多么浪漫。	盾牌	它是剑客必不可少的装备。是最好的防御工具。在战斗中每个勇士都要配备一块上好的盾牌。
47	Psychic	算命牌	有人看见过神秘的算命纸牌。没人可以算两次命。每抽一张牌如同在生命游戏中开始一次新的历程。	概率游戏	赌博只是骗傻瓜的钱而已。除非你是个巫师或天降好运，不然别在这上面浪费钱了。	看手相	"让我看看你的手。<仔细看掌纹>我想你活不了几天了，我保证。"	不祥之兆	我能从你的脸上看到不祥之兆。你头上笼罩着一团乌云，在你的将来投上了阴影。你的前途凶多吉少啊，我的朋友！	幽灵	在世上所有的邪恶势力中，死灵法师最为厉害。他们的学问非常新颖，他们深深懂得如何把整个世界包括他们自己置于水深火热之中。	星象学	星象学往往是胡说八道，但我说的事千真万确，万分紧急。流星雨最近从人马座降临人间。它会使天下大乱，灾难遍地，枭雄辈出。	巫师	天下巫师最多的时候曾经有638个。但从此后就逐渐减少，而且受到的迫害日益严重，真是太不幸了。
48	Gypsy	西方	西方是天下最险恶的地方。天堂谷和飞龙沙漠早就臭名昭著了，冰冻高地和幽灵沼泽也不是什么好地方。一般来说，越往西面就越危险。	强盗	罗兰德死后，谣传王国即将瓦解。路上就变的更不太平了。稍微远离城堡，就会遭到歹徒和强盗的袭击。	匕首	匕首或小刀的用处可真大。它既能用来做饭，又可以撬锁，如果技能提高了，还可以双手任意使用，攻击敌人的速度迅雷不及掩耳。	羊鸣披风	羊鸣教神父的披风非常漂亮，你能通过他们穿的披风辨认出他们的身份。	休息	休息能使你的身体和心灵得到放松。安营扎寨后可以尽情放松、交谈、庆祝。把白天遇到的烦恼和忧愁抛到脑后。	有组织的犯罪	东北部的商人雇人打击对手，想要独霸市场。我们最好避免经过这些地方，免得被卷入纠纷。	商人	商人就是商人。他们总是低价买近，高价卖出。但也别太顾忌他们，人人总要混口饭吃。在你买进卖出时要得到最合适的价格，唯一的办法是多跑几个市场。
49	Negotiator	交际术	我想没有比交际术更重要的了。擅长此技者口吐莲花，能把死的说成活的。	乞讨	如果你向得到与人交谈的特殊技能，乞讨是个毫无损失的好方法。但有人不吃这一套，你就得想别的办法。记住，盗贼和商人对乞讨软硬不吃。	卡力格	卡力格是巨蛇的老巢。它是新索匹格所处的布特雷格湾的东南面的一个岛。那里建立有两个势如水火的教派——太阳教派和月亮教派。他们之间的战争旷日持久，杀得天昏地暗，直到二百年前两败俱伤才结束。他们的宝物散落在世界的各个角落。	贿赂	如果有人不和我谈话，即使祈求也无济于事，不妨贿赂他试试看，“有钱能使鬼推磨”。	害怕和热爱	有个聪明的谈判能手曾说“害怕和热爱哪个更好，我两者都要，如果一定要从中选出一个，我选择害怕。”此话言之有理，我的朋友。	倾听	仔细倾听人们和你打招呼的方式，以此来决定如何与他们打交道，判断他们是否肯合作。你会发现许多兴趣相同，职业相同的人对你的态度都差不多，无论你是向他们乞讨、贿赂还是威胁。	威胁	如果你觉得乞讨和贿赂对某人都不起作用时，只能来硬的，威胁他吧！不过你一定要谨慎使用威胁手段，不然成了习惯的话，会对你的声誉有极大的影响，那时只有最高超的交际术大师才能化解威胁手段给你带来的危害。
50	Duper	恶魔	恶魔！他们只是魔法师制造的幻觉。法师们在天堂谷藏了大批的财宝。我和其中一两个法师私交甚厚。你看，这个戒指就是他们送给我的。	尼古拉	我打赌你肯定不知道我是尼古拉·艾恩法斯特王子的孪生兄弟。从小我们的父亲罗兰德就把我们分开了。他们对尼古拉施了魔法，使他的容貌看上去是个孩子，其实他和我年纪一样大。	羊鸣教	羊鸣教野心勃勃，竭力想统治整个世界。目前他们的势力已经渗透到恩洛斯的各个角落。我们的唯一反击机会就是除掉他们的领袖——威尔伯·汉弗里。不然王子在他手里也凶多吉少。	金字塔	没人知道飞龙沙漠内古老的金字塔的秘密。但我知道。我曾在龙王的保护下进入金字塔，里面蕴藏着大量的珠宝，还有金币和各种各样的宝物。一想到这些宝物就会使我情不自禁的流泪。	有组织的犯罪	商人们为了独霸市场常常雇佣盗贼搞垮对手，这已不足为奇了。商战一旦爆发，就会无休无止，还是早点脱身为妙。	罗兰德	千万不要告诉别人，罗兰德国王还活着。不过他觉得做国王压力实在太大，想休息一下。他用了一个化名，隐居在阿卜杜的小岛胜地里。	大桥	尼古拉下令建造从新索匹格通往浓雾岛的大桥。我负责为他筹集资金，凡出钱捐助的社会名流均可列入尼古拉·艾恩法斯特的大桥名人录里。名人录的成员只要花50000金币就可以把自己的名字刻在大桥的铺路石板上，要永垂不朽才花这点小钱，你还不趁早抓紧机会。
